team_id,team_name,league_id,league_name,club_worth_eur,overall,attack,midfield,defence
36,VfB Stuttgart,19,Bundesliga,279100000.0,73,76,73,73
70,Montpellier,16,Ligue 1,110000000.0,73,68,75,73
71,Nantes,16,Ligue 1,150000000.0,73,73,73,73
160,VfL Bochum 1848,19,Bundesliga,66300000.0,73,74,73,73
217,Lorient,16,Ligue 1,100000000.0,73,73,73,73
379,Stade de Reims,16,Ligue 1,120000000.0,73,69,75,72
1746,Empoli,31,Serie A,50000000.0,73,74,74,72
1794,Sheffield United,13,Premier League,169500000.0,73,72,74,72
110373,Salernitana,31,Serie A,70000000.0,73,74,73,71
110556,Genoa,31,Serie A,75000000.0,73,76,73,71
110832,Granada,53,La Liga,50000000.0,73,76,72,72
76,Strasbourg,16,Ligue 1,130000000.0,72,72,72,72
347,Lecce,31,Serie A,55000000.0,72,74,68,72
378,Brest,16,Ligue 1,92000000.0,72,72,73,72
463,Deportivo Alavés,53,La Liga,13000000.0,72,73,73,73
1815,Clermont,16,Ligue 1,75000000.0,72,71,72,71
1842,Cagliari,31,Serie A,65000000.0,72,72,72,71
1923,Luton Town,13,Premier League,107500000.0,72,72,72,72
1809,Toulouse,16,Ligue 1,98000000.0,71,75,71,72
110502,Darmstadt 98,19,Bundesliga,50000000.0,71,69,71,71
111235,Heidenheim,19,Bundesliga,34400000.0,71,72,70,71
68,Metz,16,Ligue 1,70000000.0,70,69,68,71
1738,Le Havre,16,Ligue 1,65000000.0,70,70,70,71
111657,Frosinone,31,Serie A,30000000.0,70,70,70,67
